Certification,View,Comment_num,Date,Name,Fans,Video_Index,Comment_Text,Censor_Score,Topic,Certification_Type
5,847000,2901,"(2025, 3, 17)",央视网快看,1931375,166,未开化未蒙昧,9,Xinjiang Counter-terrorism,Media
2,644000,668,"(2025, 1, 2)",安柏然Andy,909109,147,维族人就不能工作吗？这什么逻辑？,5,Xinjiang Counter-terrorism,Influencer
0,449000,1907,"(2025, 3, 2)",账号已注销,3658,154,都边境了肯定是不一样的时区，但互联网肯定是北京时间,5,Xinjiang Counter-terrorism,None
1,1873000,7597,"(2024, 4, 6)",毒舌的南瓜,2299729,48,物理打野笑死我了,9,Xinjiang Counter-terrorism,Famous Content Creator
4,1548000,9646,"(2021, 1, 25)",共青团中央,11416566,146,？？,5,Xinjiang Counter-terrorism,Government
1,261000,868,"(2025, 3, 7)",欧肯视线,551148,158,活该,9,Xinjiang Counter-terrorism,Famous Content Creator
2,24115000,197000,"(2020, 7, 23)",乌鸦校尉CaptainWuya,2926525,46,致敬！,7,Xinjiang Counter-terrorism,Influencer
2,644000,668,"(2025, 1, 2)",安柏然Andy,909109,147,黄色的雪,1,Xinjiang Counter-terrorism,Influencer
1,5550000,32000,"(2024, 5, 13)",花岗岩工作室,1654458,167,那如果不放弃不就寄了,5,Xinjiang Counter-terrorism,Famous Content Creator
1,5550000,32000,"(2024, 5, 13)",花岗岩工作室,1654458,167,致敬！致敬！,6,Xinjiang Counter-terrorism,Famous Content Creator
