Censor_Reason,Punishment_Days
9,7
9,7
9,7
7,7
9,7
9,7
9,7
7,15
7,7
7,7
9,7
9,7
9,7
9,7
9,7
7,7
7,7
7,7
7,7
9,7
7,7
7,7
9,7
7,7
9,7
7,7
9,7
7,7
9,7
9,7
7,7
9,7
9,7
7,7
7,7
10,7
7,7
9,7
9,7
9,7
9,7
7,7
7,7
9,7
9,7
9,7
7,7
7,7
9,7
9,15
13,7
7,7
13,7
9,7
9,7
13,7
7,7
9,7
7,7
9,7
10,7
7,7
9,7
9,7
9,7
9,7
9,7
20,7
7,7
9,7
10,7
7,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
10,7
9,7
9,7
9,7
1,7
9,7
9,7
9,7
7,7
9,7
10,7
20,7
9,7
